"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"10:33:55.2378608","雷小伊脱机日常 Beta 1.6.24.exe","1496","Thread Exit","","SUCCESS","Thread ID: 2820, User Time: 0.0156250, Kernel Time: 0.0156250"
"10:33:55.2378700","雷小伊脱机日常 Beta 1.6.24.exe","1496","Thread Exit","","SUCCESS","Thread ID: 10660, User Time: 0.0000000, Kernel Time: 0.0156250"
"10:33:55.2380230","雷小伊脱机日常 Beta 1.6.24.exe","1496","Thread Exit","","SUCCESS","Thread ID: 6320, User Time: 0.0000000, Kernel Time: 0.0000000"
"10:33:57.0539046","雷小伊脱机日常 Beta 1.6.24.exe","1496","TCP Receive","DESKTOP-8E3AERV.localdomain:50069 -> 110.242.70.57:http","SUCCESS","Length: 0, seqnum: 0, connid: 0"
"10:33:57.0540958","雷小伊脱机日常 Beta 1.6.24.exe","1496","TCP Disconnect","DESKTOP-8E3AERV.localdomain:50069 -> 110.242.70.57:http","SUCCESS","Length: 0, seqnum: 0, connid: 0"
"10:34:00.6667881","雷小伊脱机日常 Beta 1.6.24.exe","1496","ReadFile","C:\Windows\SysWOW64\jscript9.dll","SUCCESS","Offset: 1,979,392, Length: 32,768, I/O Flags: Non-cached, Paging I/O, Synchronous Paging I/O, Priority: Normal"
"10:34:22.4882772","雷小伊脱机日常 Beta 1.6.24.exe","1496","RegOpenKey","HKCU","SUCCESS","Desired Access: Read"
"10:34:22.4883613","雷小伊脱机日常 Beta 1.6.24.exe","1496","RegQueryKey","HKCU","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"10:34:22.4883836","雷小伊脱机日常 Beta 1.6.24.exe","1496","RegQueryKey","HKCU","SUCCESS","Query: Name"
"10:34:22.4884174","雷小伊脱机日常 Beta 1.6.24.exe","1496","RegOpenKey","HKCU\Keyboard Layout\Toggle","SUCCESS","Desired Access: Read"
"10:34:22.4884607","雷小伊脱机日常 Beta 1.6.24.exe","1496","RegSetInfoKey","HKCU\Keyboard Layout\Toggle","SUCCESS","KeySetInformationClass: KeySetHandleTagsInformation, Length: 0"
"10:34:22.4884919","雷小伊脱机日常 Beta 1.6.24.exe","1496","RegCloseKey","HKCU","SUCCESS",""
"10:34:22.4885175","雷小伊脱机日常 Beta 1.6.24.exe","1496","RegQueryValue","HKCU\Keyboard Layout\Toggle\Language Hotkey","NAME NOT FOUND","Length: 16"
"10:34:22.4885428","雷小伊脱机日常 Beta 1.6.24.exe","1496","RegQueryValue","HKCU\Keyboard Layout\Toggle\Hotkey","NAME NOT FOUND","Length: 16"
"10:34:22.4885648","雷小伊脱机日常 Beta 1.6.24.exe","1496","RegQueryValue","HKCU\Keyboard Layout\Toggle\Layout Hotkey","NAME NOT FOUND","Length: 16"
"10:34:22.4886079","雷小伊脱机日常 Beta 1.6.24.exe","1496","RegCloseKey","HKCU\Keyboard Layout\Toggle","SUCCESS",""
"10:34:22.4953629","雷小伊脱机日常 Beta 1.6.24.exe","1496","RegQueryKey","HKLM","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"10:34:22.4953687","雷小伊脱机日常 Beta 1.6.24.exe","1496","RegQueryKey","HKLM","SUCCESS","Query: Name"
"10:34:22.4953810","雷小伊脱机日常 Beta 1.6.24.exe","1496","RegOpenKey","HKLM\SOFTWARE\WOW6432Node\Microsoft\CTF\TIP\","REPARSE","Desired Access: Read"
"10:34:22.4953941","雷小伊脱机日常 Beta 1.6.24.exe","1496","RegOpenKey","HKLM\SOFTWARE\Microsoft\CTF\TIP","SUCCESS","Desired Access: Read"
"10:34:22.4954028","雷小伊脱机日常 Beta 1.6.24.exe","1496","RegSetInfoKey","HKLM\SOFTWARE\Microsoft\CTF\TIP","SUCCESS","KeySetInformationClass: KeySetHandleTagsInformation, Length: 0"
"10:34:22.4954088","雷小伊脱机日常 Beta 1.6.24.exe","1496","RegEnumKey","HKLM\SOFTWARE\Microsoft\CTF\TIP","SUCCESS","Index: 0, Name: {0000897b-83df-4b96-be07-0fb58b01c4a4}"
"10:34:22.4954218","雷小伊脱机日常 Beta 1.6.24.exe","1496","RegQueryKey","HKLM\SOFTWARE\Microsoft\CTF\TIP","SUCCESS","Query: HandleTags, HandleTags: 0x400"
"10:34:22.4954269","雷小伊脱机日常 Beta 1.6.24.exe","1496","RegOpenKey","HKLM\SOFTWARE\Microsoft\CTF\TIP\{0000897b-83df-4b96-be07-0fb58b01c4a4}\Category\Item\{07A5EF1A-3DE1-432D-91E3-2BCDB9111A71}","NAME NOT FOUND","Desired Access: Read"
"10:34:22.4954363","雷小伊脱机日常 Beta 1.6.24.exe","1496","RegEnumKey","HKLM\SOFTWARE\Microsoft\CTF\TIP","SUCCESS","Index: 1, Name: {03b5835f-f03c-411b-9ce2-aa23e1171e36}"
"10:34:22.4954446","雷小伊脱机日常 Beta 1.6.24.exe","1496","RegQueryKey","HKLM\SOFTWARE\Microsoft\CTF\TIP","SUCCESS","Query: HandleTags, HandleTags: 0x400"
"10:34:22.4954489","雷小伊脱机日常 Beta 1.6.24.exe","1496","RegOpenKey","HKLM\SOFTWARE\Microsoft\CTF\TIP\{03b5835f-f03c-411b-9ce2-aa23e1171e36}\Category\Item\{07A5EF1A-3DE1-432D-91E3-2BCDB9111A71}","NAME NOT FOUND","Desired Access: Read"
"10:34:22.4954583","雷小伊脱机日常 Beta 1.6.24.exe","1496","RegEnumKey","HKLM\SOFTWARE\Microsoft\CTF\TIP","SUCCESS","Index: 2, Name: {07EB03D6-B001-41DF-9192-BF9B841EE71F}"
"10:34:22.4954656","雷小伊脱机日常 Beta 1.6.24.exe","1496","RegQueryKey","HKLM\SOFTWARE\Microsoft\CTF\TIP","SUCCESS","Query: HandleTags, HandleTags: 0x400"
"10:34:22.4954719","雷小伊脱机日常 Beta 1.6.24.exe","1496","RegOpenKey","HKLM\SOFTWARE\Microsoft\CTF\TIP\{07EB03D6-B001-41DF-9192-BF9B841EE71F}\Category\Item\{07A5EF1A-3DE1-432D-91E3-2BCDB9111A71}","NAME NOT FOUND","Desired Access: Read"
"10:34:22.4954798","雷小伊脱机日常 Beta 1.6.24.exe","1496","RegEnumKey","HKLM\SOFTWARE\Microsoft\CTF\TIP","SUCCESS","Index: 3, Name: {531fdebf-9b4c-4a43-a2aa-960e8fcdc732}"
"10:34:22.4954872","雷小伊脱机日常 Beta 1.6.24.exe","1496","RegQueryKey","HKLM\SOFTWARE\Microsoft\CTF\TIP","SUCCESS","Query: HandleTags, HandleTags: 0x400"
"10:34:22.4954913","雷小伊脱机日常 Beta 1.6.24.exe","1496","RegOpenKey","HKLM\SOFTWARE\Microsoft\CTF\TIP\{531fdebf-9b4c-4a43-a2aa-960e8fcdc732}\Category\Item\{07A5EF1A-3DE1-432D-91E3-2BCDB9111A71}","NAME NOT FOUND","Desired Access: Read"
"10:34:22.4955073","雷小伊脱机日常 Beta 1.6.24.exe","1496","RegEnumKey","HKLM\SOFTWARE\Microsoft\CTF\TIP","SUCCESS","Index: 4, Name: {6a498709-e00b-4c45-a018-8f9e4081ae40}"
"10:34:22.4955151","雷小伊脱机日常 Beta 1.6.24.exe","1496","RegQueryKey","HKLM\SOFTWARE\Microsoft\CTF\TIP","SUCCESS","Query: HandleTags, HandleTags: 0x400"
"10:34:22.4955191","雷小伊脱机日常 Beta 1.6.24.exe","1496","RegOpenKey","HKLM\SOFTWARE\Microsoft\CTF\TIP\{6a498709-e00b-4c45-a018-8f9e4081ae40}\Category\Item\{07A5EF1A-3DE1-432D-91E3-2BCDB9111A71}","NAME NOT FOUND","Desired Access: Read"
"10:34:22.4955265","雷小伊脱机日常 Beta 1.6.24.exe","1496","RegEnumKey","HKLM\SOFTWARE\Microsoft\CTF\TIP","SUCCESS","Index: 5, Name: {78CB5B0E-26ED-4FCC-854C-77E8F3D1AA80}"
"10:34:22.4955342","雷小伊脱机日常 Beta 1.6.24.exe","1496","RegQueryKey","HKLM\SOFTWARE\Microsoft\CTF\TIP","SUCCESS","Query: HandleTags, HandleTags: 0x400"
"10:34:22.4955382","雷小伊脱机日常 Beta 1.6.24.exe","1496","RegOpenKey","HKLM\SOFTWARE\Microsoft\CTF\TIP\{78CB5B0E-26ED-4FCC-854C-77E8F3D1AA80}\Category\Item\{07A5EF1A-3DE1-432D-91E3-2BCDB9111A71}","NAME NOT FOUND","Desired Access: Read"
"10:34:22.4955458","雷小伊脱机日常 Beta 1.6.24.exe","1496","RegEnumKey","HKLM\SOFTWARE\Microsoft\CTF\TIP","SUCCESS","Index: 6, Name: {7C472071-36A7-4709-88CC-859513E583A9}"
"10:34:22.4955532","雷小伊脱机日常 Beta 1.6.24.exe","1496","RegQueryKey","HKLM\SOFTWARE\Microsoft\CTF\TIP","SUCCESS","Query: HandleTags, HandleTags: 0x400"
"10:34:22.4955572","雷小伊脱机日常 Beta 1.6.24.exe","1496","RegOpenKey","HKLM\SOFTWARE\Microsoft\CTF\TIP\{7C472071-36A7-4709-88CC-859513E583A9}\Category\Item\{07A5EF1A-3DE1-432D-91E3-2BCDB9111A71}","NAME NOT FOUND","Desired Access: Read"
"10:34:22.4955647","雷小伊脱机日常 Beta 1.6.24.exe","1496","RegEnumKey","HKLM\SOFTWARE\Microsoft\CTF\TIP","SUCCESS","Index: 7, Name: {81d4e9c9-1d3b-41bc-9e6c-4b40bf79e35e}"
"10:34:22.4955853","雷小伊脱机日常 Beta 1.6.24.exe","1496","RegQueryKey","HKLM\SOFTWARE\Microsoft\CTF\TIP","SUCCESS","Query: HandleTags, HandleTags: 0x400"
"10:34:22.4955898","雷小伊脱机日常 Beta 1.6.24.exe","1496","RegOpenKey","HKLM\SOFTWARE\Microsoft\CTF\TIP\{81d4e9c9-1d3b-41bc-9e6c-4b40bf79e35e}\Category\Item\{07A5EF1A-3DE1-432D-91E3-2BCDB9111A71}","NAME NOT FOUND","Desired Access: Read"
"10:34:22.4955986","雷小伊脱机日常 Beta 1.6.24.exe","1496","RegEnumKey","HKLM\SOFTWARE\Microsoft\CTF\TIP","SUCCESS","Index: 8, Name: {81EA0A17-AA39-455B-BA20-EA79A8F98966}"
"10:34:22.4956056","雷小伊脱机日常 Beta 1.6.24.exe","1496","RegQueryKey","HKLM\SOFTWARE\Microsoft\CTF\TIP","SUCCESS","Query: HandleTags, HandleTags: 0x400"
"10:34:22.4956097","雷小伊脱机日常 Beta 1.6.24.exe","1496","RegOpenKey","HKLM\SOFTWARE\Microsoft\CTF\TIP\{81EA0A17-AA39-455B-BA20-EA79A8F98966}\Category\Item\{07A5EF1A-3DE1-432D-91E3-2BCDB9111A71}","NAME NOT FOUND","Desired Access: Read"
"10:34:22.4956165","雷小伊脱机日常 Beta 1.6.24.exe","1496","RegEnumKey","HKLM\SOFTWARE\Microsoft\CTF\TIP","SUCCESS","Index: 9, Name: {8613E14C-D0C0-4161-AC0F-1DD2563286BC}"
"10:34:22.4956236","雷小伊脱机日常 Beta 1.6.24.exe","1496","RegQueryKey","HKLM\SOFTWARE\Microsoft\CTF\TIP","SUCCESS","Query: HandleTags, HandleTags: 0x400"
"10:34:22.4956278","雷小伊脱机日常 Beta 1.6.24.exe","1496","RegOpenKey","HKLM\SOFTWARE\Microsoft\CTF\TIP\{8613E14C-D0C0-4161-AC0F-1DD2563286BC}\Category\Item\{07A5EF1A-3DE1-432D-91E3-2BCDB9111A71}","NAME NOT FOUND","Desired Access: Read"
"10:34:22.4956343","雷小伊脱机日常 Beta 1.6.24.exe","1496","RegEnumKey","HKLM\SOFTWARE\Microsoft\CTF\TIP","SUCCESS","Index: 10, Name: {a028ae76-01b1-46c2-99c4-acd9858ae02f}"
"10:34:22.4956413","雷小伊脱机日常 Beta 1.6.24.exe","1496","RegQueryKey","HKLM\SOFTWARE\Microsoft\CTF\TIP","SUCCESS","Query: HandleTags, HandleTags: 0x400"
"10:34:22.4956454","雷小伊脱机日常 Beta 1.6.24.exe","1496","RegOpenKey","HKLM\SOFTWARE\Microsoft\CTF\TIP\{a028ae76-01b1-46c2-99c4-acd9858ae02f}\Category\Item\{07A5EF1A-3DE1-432D-91E3-2BCDB9111A71}","NAME NOT FOUND","Desired Access: Read"
"10:34:22.4956532","雷小伊脱机日常 Beta 1.6.24.exe","1496","RegEnumKey","HKLM\SOFTWARE\Microsoft\CTF\TIP","SUCCESS","Index: 11, Name: {a1e2b86b-924a-4d43-80f6-8a820df7190f}"
"10:34:22.4956602","雷小伊脱机日常 Beta 1.6.24.exe","1496","RegQueryKey","HKLM\SOFTWARE\Microsoft\CTF\TIP","SUCCESS","Query: HandleTags, HandleTags: 0x400"
"10:34:22.4956643","雷小伊脱机日常 Beta 1.6.24.exe","1496","RegOpenKey","HKLM\SOFTWARE\Microsoft\CTF\TIP\{a1e2b86b-924a-4d43-80f6-8a820df7190f}\Category\Item\{07A5EF1A-3DE1-432D-91E3-2BCDB9111A71}","NAME NOT FOUND","Desired Access: Read"
"10:34:22.4956709","雷小伊脱机日常 Beta 1.6.24.exe","1496","RegEnumKey","HKLM\SOFTWARE\Microsoft\CTF\TIP","SUCCESS","Index: 12, Name: {AE6BE008-07FB-400D-8BEB-337A64F7051F}"
"10:34:22.4956786","雷小伊脱机日常 Beta 1.6.24.exe","1496","RegQueryKey","HKLM\SOFTWARE\Microsoft\CTF\TIP","SUCCESS","Query: HandleTags, HandleTags: 0x400"
"10:34:22.4956827","雷小伊脱机日常 Beta 1.6.24.exe","1496","RegOpenKey","HKLM\SOFTWARE\Microsoft\CTF\TIP\{AE6BE008-07FB-400D-8BEB-337A64F7051F}\Category\Item\{07A5EF1A-3DE1-432D-91E3-2BCDB9111A71}","NAME NOT FOUND","Desired Access: Read"
"10:34:22.4956894","雷小伊脱机日常 Beta 1.6.24.exe","1496","RegEnumKey","HKLM\SOFTWARE\Microsoft\CTF\TIP","SUCCESS","Index: 13, Name: {B115690A-EA02-48D5-A231-E3578D2FDF80}"
"10:34:22.4956962","雷小伊脱机日常 Beta 1.6.24.exe","1496","RegQueryKey","HKLM\SOFTWARE\Microsoft\CTF\TIP","SUCCESS","Query: HandleTags, HandleTags: 0x400"
"10:34:22.4957003","雷小伊脱机日常 Beta 1.6.24.exe","1496","RegOpenKey","HKLM\SOFTWARE\Microsoft\CTF\TIP\{B115690A-EA02-48D5-A231-E3578D2FDF80}\Category\Item\{07A5EF1A-3DE1-432D-91E3-2BCDB9111A71}","NAME NOT FOUND","Desired Access: Read"
"10:34:22.4957079","雷小伊脱机日常 Beta 1.6.24.exe","1496","RegEnumKey","HKLM\SOFTWARE\Microsoft\CTF\TIP","SUCCESS","Index: 14, Name: {C1EE01F2-B3B6-4A6A-9DDD-E988C088EC82}"
"10:34:22.4957148","雷小伊脱机日常 Beta 1.6.24.exe","1496","RegQueryKey","HKLM\SOFTWARE\Microsoft\CTF\TIP","SUCCESS","Query: HandleTags, HandleTags: 0x400"
"10:34:22.4957204","雷小伊脱机日常 Beta 1.6.24.exe","1496","RegOpenKey","HKLM\SOFTWARE\Microsoft\CTF\TIP\{C1EE01F2-B3B6-4A6A-9DDD-E988C088EC82}\Category\Item\{07A5EF1A-3DE1-432D-91E3-2BCDB9111A71}","SUCCESS","Desired Access: Read"
"10:34:22.4957302","雷小伊脱机日常 Beta 1.6.24.exe","1496","RegEnumKey","HKLM\SOFTWARE\Microsoft\CTF\TIP\{C1EE01F2-B3B6-4A6A-9DDD-E988C088EC82}\Category\Item\{07A5EF1A-3DE1-432D-91E3-2BCDB9111A71}","SUCCESS","Index: 0, Name: {24AF3031-852D-40A2-BC09-8992898CE722}"
"10:34:22.4957352","雷小伊脱机日常 Beta 1.6.24.exe","1496","RegEnumKey","HKLM\SOFTWARE\Microsoft\CTF\TIP\{C1EE01F2-B3B6-4A6A-9DDD-E988C088EC82}\Category\Item\{07A5EF1A-3DE1-432D-91E3-2BCDB9111A71}","NO MORE ENTRIES","Index: 1, Length: 288"
"10:34:22.4957420","雷小伊脱机日常 Beta 1.6.24.exe","1496","RegCloseKey","HKLM\SOFTWARE\Microsoft\CTF\TIP\{C1EE01F2-B3B6-4A6A-9DDD-E988C088EC82}\Category\Item\{07A5EF1A-3DE1-432D-91E3-2BCDB9111A71}","SUCCESS",""
"10:34:22.4957469","雷小伊脱机日常 Beta 1.6.24.exe","1496","RegEnumKey","HKLM\SOFTWARE\Microsoft\CTF\TIP","SUCCESS","Index: 15, Name: {C2CB2CF0-AF47-413E-9780-8BC3A3C16068}"
"10:34:22.4957546","雷小伊脱机日常 Beta 1.6.24.exe","1496","RegQueryKey","HKLM\SOFTWARE\Microsoft\CTF\TIP","SUCCESS","Query: HandleTags, HandleTags: 0x400"
"10:34:22.4957587","雷小伊脱机日常 Beta 1.6.24.exe","1496","RegOpenKey","HKLM\SOFTWARE\Microsoft\CTF\TIP\{C2CB2CF0-AF47-413E-9780-8BC3A3C16068}\Category\Item\{07A5EF1A-3DE1-432D-91E3-2BCDB9111A71}","NAME NOT FOUND","Desired Access: Read"
"10:34:22.4957654","雷小伊脱机日常 Beta 1.6.24.exe","1496","RegEnumKey","HKLM\SOFTWARE\Microsoft\CTF\TIP","SUCCESS","Index: 16, Name: {DCBD6FA8-032F-11D3-B5B1-00C04FC324A1}"
"10:34:22.4957722","雷小伊脱机日常 Beta 1.6.24.exe","1496","RegQueryKey","HKLM\SOFTWARE\Microsoft\CTF\TIP","SUCCESS","Query: HandleTags, HandleTags: 0x400"
"10:34:22.4957764","雷小伊脱机日常 Beta 1.6.24.exe","1496","RegOpenKey","HKLM\SOFTWARE\Microsoft\CTF\TIP\{DCBD6FA8-032F-11D3-B5B1-00C04FC324A1}\Category\Item\{07A5EF1A-3DE1-432D-91E3-2BCDB9111A71}","NAME NOT FOUND","Desired Access: Read"
"10:34:22.4957829","雷小伊脱机日常 Beta 1.6.24.exe","1496","RegEnumKey","HKLM\SOFTWARE\Microsoft\CTF\TIP","SUCCESS","Index: 17, Name: {E429B25A-E5D3-4D1F-9BE3-0C608477E3A1}"
"10:34:22.4957897","雷小伊脱机日常 Beta 1.6.24.exe","1496","RegQueryKey","HKLM\SOFTWARE\Microsoft\CTF\TIP","SUCCESS","Query: HandleTags, HandleTags: 0x400"
"10:34:22.4957937","雷小伊脱机日常 Beta 1.6.24.exe","1496","RegOpenKey","HKLM\SOFTWARE\Microsoft\CTF\TIP\{E429B25A-E5D3-4D1F-9BE3-0C608477E3A1}\Category\Item\{07A5EF1A-3DE1-432D-91E3-2BCDB9111A71}","NAME NOT FOUND","Desired Access: Read"
"10:34:22.4958003","雷小伊脱机日常 Beta 1.6.24.exe","1496","RegEnumKey","HKLM\SOFTWARE\Microsoft\CTF\TIP","SUCCESS","Index: 18, Name: {F25E9F57-2FC8-4EB3-A41A-CCE5F08541E6}"
"10:34:22.4958074","雷小伊脱机日常 Beta 1.6.24.exe","1496","RegQueryKey","HKLM\SOFTWARE\Microsoft\CTF\TIP","SUCCESS","Query: HandleTags, HandleTags: 0x400"
"10:34:22.4958116","雷小伊脱机日常 Beta 1.6.24.exe","1496","RegOpenKey","HKLM\SOFTWARE\Microsoft\CTF\TIP\{F25E9F57-2FC8-4EB3-A41A-CCE5F08541E6}\Category\Item\{07A5EF1A-3DE1-432D-91E3-2BCDB9111A71}","NAME NOT FOUND","Desired Access: Read"
"10:34:22.4958190","雷小伊脱机日常 Beta 1.6.24.exe","1496","RegEnumKey","HKLM\SOFTWARE\Microsoft\CTF\TIP","SUCCESS","Index: 19, Name: {F89E9E58-BD2F-4008-9AC2-0F816C09F4EE}"
"10:34:22.4958259","雷小伊脱机日常 Beta 1.6.24.exe","1496","RegQueryKey","HKLM\SOFTWARE\Microsoft\CTF\TIP","SUCCESS","Query: HandleTags, HandleTags: 0x400"
"10:34:22.4958300","雷小伊脱机日常 Beta 1.6.24.exe","1496","RegOpenKey","HKLM\SOFTWARE\Microsoft\CTF\TIP\{F89E9E58-BD2F-4008-9AC2-0F816C09F4EE}\Category\Item\{07A5EF1A-3DE1-432D-91E3-2BCDB9111A71}","NAME NOT FOUND","Desired Access: Read"
"10:34:22.4958376","雷小伊脱机日常 Beta 1.6.24.exe","1496","RegEnumKey","HKLM\SOFTWARE\Microsoft\CTF\TIP","NO MORE ENTRIES","Index: 20, Length: 288"
"10:34:22.4958440","雷小伊脱机日常 Beta 1.6.24.exe","1496","RegCloseKey","HKLM\SOFTWARE\Microsoft\CTF\TIP","SUCCESS",""
"10:34:22.4959147","雷小伊脱机日常 Beta 1.6.24.exe","1496","RegQueryKey","HKLM","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"10:34:22.4959189","雷小伊脱机日常 Beta 1.6.24.exe","1496","RegQueryKey","HKLM","SUCCESS","Query: Name"
"10:34:22.4959274","雷小伊脱机日常 Beta 1.6.24.exe","1496","RegOpenKey","HKLM\SOFTWARE\WOW6432Node\Microsoft\CTF\TIP\","REPARSE","Desired Access: Read"
"10:34:22.4959350","雷小伊脱机日常 Beta 1.6.24.exe","1496","RegOpenKey","HKLM\SOFTWARE\Microsoft\CTF\TIP","SUCCESS","Desired Access: Read"
"10:34:22.4959411","雷小伊脱机日常 Beta 1.6.24.exe","1496","RegSetInfoKey","HKLM\SOFTWARE\Microsoft\CTF\TIP","SUCCESS","KeySetInformationClass: KeySetHandleTagsInformation, Length: 0"
"10:34:22.4959454","雷小伊脱机日常 Beta 1.6.24.exe","1496","RegEnumKey","HKLM\SOFTWARE\Microsoft\CTF\TIP","SUCCESS","Index: 0, Name: {0000897b-83df-4b96-be07-0fb58b01c4a4}"
"10:34:22.4959528","雷小伊脱机日常 Beta 1.6.24.exe","1496","RegQueryKey","HKLM\SOFTWARE\Microsoft\CTF\TIP","SUCCESS","Query: HandleTags, HandleTags: 0x400"
"10:34:22.4959576","雷小伊脱机日常 Beta 1.6.24.exe","1496","RegOpenKey","HKLM\SOFTWARE\Microsoft\CTF\TIP\{0000897b-83df-4b96-be07-0fb58b01c4a4}\Category\Category\{B95F181B-EA4C-4AF1-8056-7C321ABBB091}","NAME NOT FOUND","Desired Access: Read"
"10:34:22.4959634","雷小伊脱机日常 Beta 1.6.24.exe","1496","RegEnumKey","HKLM\SOFTWARE\Microsoft\CTF\TIP","SUCCESS","Index: 1, Name: {03b5835f-f03c-411b-9ce2-aa23e1171e36}"
"10:34:22.4959702","雷小伊脱机日常 Beta 1.6.24.exe","1496","RegQueryKey","HKLM\SOFTWARE\Microsoft\CTF\TIP","SUCCESS","Query: HandleTags, HandleTags: 0x400"
"10:34:22.4959744","雷小伊脱机日常 Beta 1.6.24.exe","1496","RegOpenKey","HKLM\SOFTWARE\Microsoft\CTF\TIP\{03b5835f-f03c-411b-9ce2-aa23e1171e36}\Category\Category\{B95F181B-EA4C-4AF1-8056-7C321ABBB091}","NAME NOT FOUND","Desired Access: Read"
"10:34:22.4959816","雷小伊脱机日常 Beta 1.6.24.exe","1496","RegEnumKey","HKLM\SOFTWARE\Microsoft\CTF\TIP","SUCCESS","Index: 2, Name: {07EB03D6-B001-41DF-9192-BF9B841EE71F}"
"10:34:22.4959884","雷小伊脱机日常 Beta 1.6.24.exe","1496","RegQueryKey","HKLM\SOFTWARE\Microsoft\CTF\TIP","SUCCESS","Query: HandleTags, HandleTags: 0x400"
"10:34:22.4960025","雷小伊脱机日常 Beta 1.6.24.exe","1496","RegOpenKey","HKLM\SOFTWARE\Microsoft\CTF\TIP\{07EB03D6-B001-41DF-9192-BF9B841EE71F}\Category\Category\{B95F181B-EA4C-4AF1-8056-7C321ABBB091}","NAME NOT FOUND","Desired Access: Read"
"10:34:22.4960104","雷小伊脱机日常 Beta 1.6.24.exe","1496","RegEnumKey","HKLM\SOFTWARE\Microsoft\CTF\TIP","SUCCESS","Index: 3, Name: {531fdebf-9b4c-4a43-a2aa-960e8fcdc732}"
"10:34:22.4960176","雷小伊脱机日常 Beta 1.6.24.exe","1496","RegQueryKey","HKLM\SOFTWARE\Microsoft\CTF\TIP","SUCCESS","Query: HandleTags, HandleTags: 0x400"
"10:34:22.4960218","雷小伊脱机日常 Beta 1.6.24.exe","1496","RegOpenKey","HKLM\SOFTWARE\Microsoft\CTF\TIP\{531fdebf-9b4c-4a43-a2aa-960e8fcdc732}\Category\Category\{B95F181B-EA4C-4AF1-8056-7C321ABBB091}","NAME NOT FOUND","Desired Access: Read"
"10:34:22.4960285","雷小伊脱机日常 Beta 1.6.24.exe","1496","RegEnumKey","HKLM\SOFTWARE\Microsoft\CTF\TIP","SUCCESS","Index: 4, Name: {6a498709-e00b-4c45-a018-8f9e4081ae40}"
"10:34:22.4960353","雷小伊脱机日常 Beta 1.6.24.exe","1496","RegQueryKey","HKLM\SOFTWARE\Microsoft\CTF\TIP","SUCCESS","Query: HandleTags, HandleTags: 0x400"
"10:34:22.4960395","雷小伊脱机日常 Beta 1.6.24.exe","1496","RegOpenKey","HKLM\SOFTWARE\Microsoft\CTF\TIP\{6a498709-e00b-4c45-a018-8f9e4081ae40}\Category\Category\{B95F181B-EA4C-4AF1-8056-7C321ABBB091}","NAME NOT FOUND","Desired Access: Read"
"10:34:22.4960455","雷小伊脱机日常 Beta 1.6.24.exe","1496","RegEnumKey","HKLM\SOFTWARE\Microsoft\CTF\TIP","SUCCESS","Index: 5, Name: {78CB5B0E-26ED-4FCC-854C-77E8F3D1AA80}"
"10:34:22.4960527","雷小伊脱机日常 Beta 1.6.24.exe","1496","RegQueryKey","HKLM\SOFTWARE\Microsoft\CTF\TIP","SUCCESS","Query: HandleTags, HandleTags: 0x400"
"10:34:22.4960567","雷小伊脱机日常 Beta 1.6.24.exe","1496","RegOpenKey","HKLM\SOFTWARE\Microsoft\CTF\TIP\{78CB5B0E-26ED-4FCC-854C-77E8F3D1AA80}\Category\Category\{B95F181B-EA4C-4AF1-8056-7C321ABBB091}","SUCCESS","Desired Access: Read"
"10:34:22.4960676","雷小伊脱机日常 Beta 1.6.24.exe","1496","RegEnumKey","HKLM\SOFTWARE\Microsoft\CTF\TIP\{78CB5B0E-26ED-4FCC-854C-77E8F3D1AA80}\Category\Category\{B95F181B-EA4C-4AF1-8056-7C321ABBB091}","SUCCESS","Index: 0, Name: {34B45670-7526-11D2-A147-00105A2799B5}"
"10:34:22.4960728","雷小伊脱机日常 Beta 1.6.24.exe","1496","RegEnumKey","HKLM\SOFTWARE\Microsoft\CTF\TIP\{78CB5B0E-26ED-4FCC-854C-77E8F3D1AA80}\Category\Category\{B95F181B-EA4C-4AF1-8056-7C321ABBB091}","NO MORE ENTRIES","Index: 1, Length: 288"
"10:34:22.4960782","雷小伊脱机日常 Beta 1.6.24.exe","1496","RegCloseKey","HKLM\SOFTWARE\Microsoft\CTF\TIP\{78CB5B0E-26ED-4FCC-854C-77E8F3D1AA80}\Category\Category\{B95F181B-EA4C-4AF1-8056-7C321ABBB091}","SUCCESS",""
"10:34:22.4960826","雷小伊脱机日常 Beta 1.6.24.exe","1496","RegEnumKey","HKLM\SOFTWARE\Microsoft\CTF\TIP","SUCCESS","Index: 6, Name: {7C472071-36A7-4709-88CC-859513E583A9}"
"10:34:22.4960896","雷小伊脱机日常 Beta 1.6.24.exe","1496","RegQueryKey","HKLM\SOFTWARE\Microsoft\CTF\TIP","SUCCESS","Query: HandleTags, HandleTags: 0x400"
"10:34:22.4960937","雷小伊脱机日常 Beta 1.6.24.exe","1496","RegOpenKey","HKLM\SOFTWARE\Microsoft\CTF\TIP\{7C472071-36A7-4709-88CC-859513E583A9}\Category\Category\{B95F181B-EA4C-4AF1-8056-7C321ABBB091}","NAME NOT FOUND","Desired Access: Read"
"10:34:22.4960995","雷小伊脱机日常 Beta 1.6.24.exe","1496","RegEnumKey","HKLM\SOFTWARE\Microsoft\CTF\TIP","SUCCESS","Index: 7, Name: {81d4e9c9-1d3b-41bc-9e6c-4b40bf79e35e}"
